count,1,2,3,4,5,6,7,person,amount
170,2,11,13,15,31,42,10,6,"1,923,108,250"
171,4,16,25,29,34,35,1,6,"1,961,339,700"
172,4,19,21,24,26,41,35,11,"1,081,154,073"
173,3,9,24,30,33,34,18,8,"1,487,736,788"
174,13,14,18,22,35,39,16,7,"1,771,103,058"
175,19,26,28,31,33,36,17,5,"2,371,132,620"
176,4,17,30,32,33,34,15,5,"2,314,663,080"
177,1,10,13,16,37,43,6,7,"1,693,285,500"
178,1,5,11,12,18,23,9,5,"2,254,621,080"
179,5,9,17,25,39,43,32,10,"1,081,093,920"
180,2,15,20,21,29,34,22,2,"5,763,371,550"
181,14,21,23,32,40,45,44,6,"1,941,763,300"
182,13,15,27,29,34,40,35,3,"3,721,439,400"
183,2,18,24,34,40,42,5,6,"1,777,221,500"
184,1,2,6,16,20,33,41,6,"1,747,753,050"
185,1,2,4,8,19,38,14,3,"3,522,485,800"
186,4,10,14,19,21,45,9,9,"1,187,882,600"
187,1,2,8,18,29,38,42,7,"1,544,733,900"
188,19,24,27,30,31,34,36,3,"3,501,405,200"
189,8,14,32,35,37,45,28,3,"3,461,775,100"
190,8,14,18,30,31,44,15,6,"1,784,159,450"
191,5,6,24,25,32,37,8,4,"2,577,114,675"
192,4,8,11,18,37,45,33,4,"2,445,348,375"
193,6,14,18,26,36,39,13,3,"3,404,449,700"
194,15,20,23,26,39,44,28,4,"2,650,567,875"
195,7,10,19,22,35,40,31,11,"918,992,591"
196,35,36,37,41,44,45,30,15,"727,876,520"
197,7,12,16,34,42,45,4,6,"1,803,018,300"
198,12,19,20,25,41,45,2,6,"1,797,855,050"
199,14,21,22,25,30,36,43,2,"5,344,252,200"
200,5,6,13,14,17,20,7,8,"1,344,616,613"
201,3,11,24,38,39,44,26,1,"9,719,465,400"
202,12,14,27,33,39,44,17,6,"1,893,391,700"
203,1,3,11,24,30,32,7,5,"2,164,564,740"
204,3,12,14,35,40,45,5,8,"1,358,347,125"
205,1,3,21,29,35,37,30,6,"1,835,221,800"
206,1,2,3,15,20,25,43,5,"2,032,859,340"
207,3,11,14,31,32,37,38,5,"2,104,673,760"
208,14,25,31,34,40,44,24,6,"1,760,767,400"
209,2,7,18,20,24,33,37,6,"1,660,896,350"
210,10,19,22,23,25,37,39,2,"5,139,085,950"
211,12,13,17,20,33,41,8,10,"1,035,800,250"
212,11,12,18,21,31,38,8,4,"2,660,747,250"
213,2,3,4,5,20,24,42,8,"1,376,678,025"
